Gene	Num
KIF5B	9
MUC6	9
FKBP15	9
ROR1	9
INTS8	9
PYHIN1	9
TMC2	9
CNGA2	9
TRAK2	9
BCAN	9
PFKP	8
LILRA1	8
GRM8	8
CCDC39	8
NOS2	8
FGD2	8
OR2G3	8
GLDC	8
RUNX1T1	8
CASK	8
ABCC5	8
COL4A1	8
CRYBG3	8
ARHGEF12	8
MATN2	8
CELSR1	8
MACO1	8
SLFN13	8
PCDHGA9	8
ATG7	8
ADGRG2	8
ZNF454	8
SOX13	8
ZFYVE26	8
AGTPBP1	8
ADD2	8
PCDHGB4	8
FAAH	8
PYGM	8
CD1E	8
AGT	8
DCAF6	8
OGDHL	8
OGT	8
FLAD1	8
CFAP58	8
DDB1	8
PDZRN4	8
CYP2A13	8
PIK3C2G	8
NOS3	8
CLIP1	8
A2M	8
SLITRK1	8
SCAF4	8
SNAP91	8
MAP3K19	8
ZNF587	8
HIPK2	8
SORCS1	8
CLEC16A	8
CFAP43	8
FBF1	8
GPATCH8	8
RBM27	8
UBN2	8
SIN3A	8
NPR2	8
GRIPAP1	8
ATF7IP	8
ANGPT1	8
ZNF217	8
PAXBP1	8
L1CAM	8
PLCZ1	8
MDGA2	8
EPC1	8
TTC7A	8
KANSL1	8
APBA1	8
WDR76	8
KIFC1	8
EFCAB6	8
MBD5	8
NLRP1	8
KCNQ3	8
MAN2A1	8
WDR49	8
ZHX2	8
RFC1	8
PROS1	8
GSAP	8
OR5T1	8
TLL1	8
EFCAB13	8
ZNF609	8
CACNA2D2	8
TRPC6	8
NLRP5	8
CDH26	8
USP12	8
EIF4G3	8
HAUS6	8
SEMA6A	8
VCAM1	8
ITGA8	8
BMX	8
WDR6	8
DOCK5	8
MEGF10	8
ANKAR	8
CACNA2D3	8
NEDD4	8
CATSPERE	8
MAPKBP1	8
AMBRA1	8
EPB41L2	8
LAMB2	8
BMPR1B	8
KCNK9	8
VPS39	8
DUOX2	8
SYT2	8
TSC1	8
FAM184A	8
LAMB3	8
BEST3	8
SAMD14	8
PTPRJ	8
FILIP1	8
ADGRE2	8
EWSR1	8
ZMIZ1	8
UGGT1	8
SCYL3	8
SUPT20HL2	8
SH3PXD2B	8
DOCK1	8
RBFOX1	8
SPINK5	8
CCDC7	8
SEMA5B	8
CILP	8
ALDH1L2	8
ATP11A	8
NCOR2	8
STAT3	8
PKDREJ	8
HOOK1	8
IQSEC2	8
JADE3	8
ADCY2	8
VANGL2	8
SMARCA1	8
SH3PXD2A	8
LONP2	8
AP1G2	8
P3H2	8
MRTFB	8
TEX55	8
PCDHGA11	8
PHLDB2	8
PLEKHG1	8
TRAPPC9	8
CYLC1	8
SSH3	8
ATP13A3	8
OR10Z1	8
TAB3	8
BRPF3	8
PCDH10	8
PTCH1	8
SYNCRIP	8
PDE11A	8
AKT3	8
ZZEF1	8
GALNT5	8
TRABD2A	8
MAML2	8
SMYD3	8
SYT17	8
FANCI	8
SLC9A8	8
ZNF43	8
ZNF585B	8
BBS10	8
UHRF1BP1	8
SLC22A2	8
PREPL	8
ACSS3	8
CNTN3	8
PZP	8
LRRTM1	8
RPGRIP1L	8
FNDC1	8
RFX4	8
PCDHB2	8
ADAMTS7	8
PPFIA1	8
PCDHB6	8
MEFV	8
KLHL1	8
PCF11	8
DDX3X	8
NOMO1	8
TMC5	8
DCAF4L2	8
L3MBTL3	8
MAGEE1	8
ABCA1	8
ZNF780A	8
CLTC	8
CCDC180	8
ZCWPW1	8
UTP25	8
AC008397.2	8
BAZ1A	8
NUP205	8
SORBS1	8
ZNF560	8
SEC24D	8
TDRD5	8
MICAL3	8
NCAM1	8
SLC9C2	8
GPSM2	8
CC2D2A	8
TF	8
CROCC	8
UBR1	8
ARFGEF3	8
PCDHB11	8
H2BC4	8
MTHFD1L	8
GRK1	8
LOXL3	8
PCDH18	8
RTN4	8
FBXO21	8
MAGEC1	8
KIAA1614	8
HAUS5	8
PLEKHG4B	8
ABCB1	8
KCND1	8
NEK8	8
SLC4A5	8
GLI2	8
RABEP1	8
GANAB	8
ATP2A1	8
TNKS2	8
ELL2	8
TUBGCP2	8
ZNF423	8
MAGI3	8
SLC13A1	8
ZC3H6	8
ACP3	8
FAM13B	8
CFAP251	8
NUP107	8
CARMIL1	8
TXNDC11	8
IL1RAP	8
BAZ2A	8
STON1	8
FTSJ3	8
C12orf40	8
ZFP37	8
RNF10	8
PTPRG	8
TTC3	8
OVCH1	8
AXIN1	8
TBX18	8
OTUD7B	8
MROH7	8
KIT	8
DHX57	8
ADAM12	8
GLYR1	8
ROBO3	8
ABCC8	8
CACNA1G	8
EPAS1	8
GCM2	8
CAMTA1	8
PLXNB2	8
DNAH6	8
DZANK1	8
MRC2	8
ZNF251	8
DPP6	8
TAOK2	8
VWA3A	8
BIVM-ERCC5	8
AR	8
WWP1	8
TNS3	8
SLC13A3	8
PTPN23	8
HIF3A	8
KCND2	8
ANO2	8
TEX14	8
PIK3R4	8
APP	8
SLC35B2	8
PDCD11	8
CYP4F11	8
GFPT2	8
RPS6KA3	8
CUX1	8
SPICE1	8
EDAR	8
DLGAP4	8
ARMC4	8
CCDC171	8
ERAP2	8
DDX5	8
FNDC3A	8
LPO	8
C2CD5	8
TRO	8
RASGRP2	8
GABRA4	8
ZNF350	8
PPP4R3B	8
DDX27	8
PEX5L	8
TRIM24	8
DDX60	8
IFT172	8
MET	8
CHD1L	8
TNKS1BP1	8
USP28	8
ATP2C1	8
CNOT3	8
CPQ	8
DPP4	8
ASIC3	8
RPGRIP1	8
PPL	8
SLC9A2	8
ITPKC	8
TASOR	8
SPTBN1	8
XPO5	8
ZNF425	8
MTHFD1	8
CTNNA3	8
ARHGEF28	8
CGN	8
SHANK2	8
AGL	8
LRRC41	8
GALNT17	8
ITPRID2	8
ZNF432	8
LIFR	8
MAN1A1	8
BNC2	8
JCAD	8
ARMCX2	8
PCDHAC2	8
OR5L1	8
BMPR2	8
LARP4B	8
IPO8	8
PRKD1	8
MLH1	8
COL16A1	8
MAP3K5	8
FRY	8
BCHE	8
ARHGEF6	8
RBM26	8
LDB2	8
DUOX1	8
PTPN22	8
RAPGEF2	8
TSC2	8
CXCR3	8
SEC24C	8
SYCP2L	8
CFAP54	8
TWNK	8
RERE	8
STK10	8
TRIM42	8
BBX	8
SCAF11	8
CACNA1H	8
YTHDF3	8
NFE2L3	8
SIDT2	8
USP1	8
OXR1	8
STK31	8
CFAP65	8
IMPG2	8
CYFIP2	8
SMARCC2	8
DNAJC14	8
ACE	8
FSIP2	8
ITGAX	8
CDC73	8
CNTNAP3	8
TRPV2	8
UACA	8
PCDHB16	8
DENND1A	8
SLCO2A1	8
LATS1	8
DGKG	8
RPS6KA5	8
GRIA4	8
TRPC7	8
MYO1H	8
HSD17B4	8
EXPH5	8
ITGA6	8
DAAM2	8
EPHA4	8
XPC	8
ARHGAP11A	8
GBP7	8
VWA3B	8
TSC22D1	8
LSR	8
CORIN	8
ESF1	8
INTS7	8
CDKL5	8
ZNF528	8
SATB1	8
ROCK1	8
SENP7	8
MTSS1	8
ASTN2	8
PCNX3	8
CNTNAP1	8
SLX4	8
KCNK2	8
DPP10	8
PHACTR1	8
MOV10L1	8
TCF12	8
KCNV1	8
ABCF1	7
RMND1	7
TTLL7	7
LIG3	7
PCDH1	7
USP29	7
EFCAB12	7
ULK4	7
ZNF638	7
PRKCQ	7
MROH1	7
