gene	lowMean	highMean	logFC	pValue	fdr
TNN	12.384121685254	5.22119668508287	-1.24603914059116	1.66961988573017e-27	3.11668454433408e-26
FCRL1	1.68397899628253	0.389597329650092	-2.11181845010414	2.93650280310094e-13	1.02849777612091e-12
AC018797.3	1.90974389714994	0.741668876611418	-1.36453204699756	4.12967343331115e-31	1.35534138265235e-29
NTRK2	18.5177237918216	7.99299189686924	-1.21209924090244	1.32232042952291e-44	7.06573657012882e-42
AC126544.1	1.3954822180917	0.669381123388582	-1.05986396843102	3.91260456757246e-17	2.04779998472365e-16
PHKG1	6.354125	1.51147965009208	-2.07173191612806	2.6178849090499e-24	3.13687554729112e-23
NEK10	9.1677426889715	4.33428130755064	-1.08077376093853	1.30768661394562e-17	7.16211832538634e-17
AC005838.2	1.92869191449814	0.68977044198895	-1.48343449555144	2.43913049402677e-20	1.82204859403074e-19
AL049840.6	2.89624188351921	1.43428241252302	-1.01385297506757	2.77689269591107e-40	4.52210363879842e-38
COL14A1	64.3599667905824	23.9527997237569	-1.42596928636515	4.42158858172079e-39	5.64214501185401e-37
CMA1	3.23968355018587	1.29875156537753	-1.31872741064031	1.9603695951343e-25	2.77716319032323e-24
AC007619.1	1.62947211895911	0.775695027624309	-1.07084320829604	1.00520976886632e-31	3.63384394034782e-30
RNU1-16P	2.77709296778191	0.657460036832412	-2.07860036541749	2.41386266664325e-10	6.3853090558374e-10
AC253536.3	3.72498866171004	1.63945276243094	-1.1840217002977	7.77842651634737e-35	4.66678298256223e-33
CRTAC1	5.10969615861214	2.51525165745856	-1.0225347531061	1.75405898031828e-17	9.51241817458366e-17
LINC02613	2.93543162949195	1.26033296500921	-1.21976772760789	2.55626907461839e-34	1.42841976819934e-32
AL121672.1	1.51407239776952	0.737375414364641	-1.03796297183874	1.42993002487568e-11	4.27603593832621e-11
PRSS12	2.37960473977695	0.712254143646409	-1.74025794222885	4.67175419924182e-35	2.9806837706282e-33
SCN7A	1.75704851301115	0.531663996316759	-1.72456734827846	8.75867360651594e-35	5.2001583332575e-33
GIPC2	2.32737853159851	1.0995244014733	-1.08182625201249	4.95079375653897e-35	3.13531934974296e-33
MIR554	2.84080758983891	0.681305801104972	-2.05992672392589	0.000184599266909867	0.000275914586091942
C4BPA	6.44485170384139	1.66287863720074	-1.95446428307858	8.18873099305692e-15	3.36989437425464e-14
ITPRIPL1	2.43617403965304	1.18194834254144	-1.04345021928161	8.34717424303463e-33	3.56820830954123e-31
MTRNR2L8	4.63831319702602	1.83740046040516	-1.33593414437903	0.0332658219266548	0.0395833186585853
